一级分类,二级分类,商品URL,商品名称,商店名称
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8510850.aspx,京东百亿补贴、PLUS会员：WAHIN 华凌 KFR-72LW/N8HA1 新一级能效 立柜式空调 3匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8510637.aspx,格力空调变频大1.5匹京爽机变频冷暖新一级能效变频壁挂式家用【3月10日发完】,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8510559.aspx,美的美的（Midea） 新一代舒适空调 2匹 风尊二代 一级能效变频冷暖壁挂式挂机智能除湿 2匹 一级能效 新升级 风尊二代,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8510454.aspx,科龙3匹柜机空调 新一级变频 节能省电 冷暖家用 智能wifi 柜式立式柔风 客厅柜机 3匹 一级能效 新能效节能客厅柜机,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8510187.aspx,家装季、PLUS会员：美的酷省电柜机 新一级能效 升级PRO 变频冷暖 3匹空调立式 客厅 电量查询 APP智控 独立除湿24年新款 大3匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509800.aspx,PLUS会员：TCL 真省电系列 KFR-26GW/RV2Ea+B1 壁挂式空调 1匹,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509383.aspx,再降价，拼多多百亿补贴：小米 米家空调挂机 1.5匹 新一级能效 变频冷暖 家用智能互联 A1,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509715.aspx,PLUS会员：美的（Midea）【火爆金榜】空调挂机  1.5匹 一级能效 节能25% 酷省电   KFR-35GW/N8KS1-1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509705.aspx,松下(Panasonic)20倍纳诺怡除菌净化新一级能效节能全直流变频冷暖内部自清洁一键睡眠壁挂式挂机 大1匹 一级能效 JM26K410,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509637.aspx,PLUS会员：美的（Midea）酷省电 空调挂机 大1.5匹 一级能效  省电25%  KFR-35GW/N8KS1-1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509478.aspx,plus：奥克斯（AUX）空调挂机  变频速冷暖 低噪节能  1.5匹 一级能效 京裕Ⅱ,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509379.aspx,plus：美的空调 酷省电 一级能效 变频冷暖 空调挂机  1.5匹 一级能效 省电25%,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509412.aspx,科龙1.5匹空调 变频节能省电 冷暖家用 柔风感大风量 除湿 自清洁空调壁挂式 1.5匹新能效变频挂机【咨询客服享低价】,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509223.aspx,plus：美的（Midea）风尊 大1匹 一级能效 变频冷暖 空调挂机 KFR-26GW/N8MXC1 时尚版,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509165.aspx,plus：美的（Midea）风尊 1.5匹 新一级变频冷暖 空调挂机  KFR-35GW/N8MXC1  时尚版,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509052.aspx,【海尔智家】小超人空调3p匹新一级柜机客厅省电冷暖家用72FCC81,天猫商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8509024.aspx,plus会员、京东百亿补贴:奥克斯空调 挂机1.5匹 一级能效 家用壁挂式 冷暖变频节能省电侠KFR-32GW/BpR3AQS1(B1)一键舒风,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508914.aspx,11日0点、再降价、PLUS会员：小米2匹 自然风 新一级能效 舒适风感 变频冷暖 智能互联 大导板 壁挂式空调 KFR-50GW/M2A1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508897.aspx,plus：奥克斯（AUX）空调 1.5匹  新能效三级  变频冷暖  KFR-35GW/BpR3AQE1(B3）,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508851.aspx,11日0点、再降价、PLUS会员：小米3匹 新二级能效 变频冷暖 智能互联 壁挂式卧室挂机 KFR-72GW/D1A2 鎏金版,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508559.aspx,PLUS会员：Midea 美的 空调 1.5匹 风尊 时尚科技版 新一级能效 3D环游风 KFR-35GW/N8MXC1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508503.aspx,美的（Midea）空调挂机 1.5匹/1匹 风酷省电 酷金 新一级能效 大风口 变频冷暖 独立除湿 自清洁防直吹 以旧换新 大1.5匹 酷金,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508440.aspx,PLUS会员：MIJIA 米家 KFR-72LW/R1A1 新一级能效 立柜式空调 3匹,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508346.aspx,再降价、PLUS会员：TCL 1.5匹 真省电Pro 超一级能效 变频冷暖 卧室挂机KFR-35GW/RT2Ea+B1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508315.aspx,再降价、PLUS会员：TCL 大1.5匹 真省电 超一级能效 KFR-35GW/RV2Ea+B1 壁挂式空调挂机,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508091.aspx,TCL空调大3匹真省电Pro 超一级能效省电40% 变频冷暖空调立式空调柜机 立柜式圆柱型空调 以旧换新 大3匹 一级能效 真省电Pro柜机,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8508020.aspx,美的（Midea）空调挂机 1.5匹/2匹 酷省电 风酷二代 一级能效 家用智能 变频冷暖 防直吹 静眠不扰人 以旧换新 1.5匹 风酷Ⅱ,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8507408.aspx,PLUS会员: 华凌空调 变频冷暖 1.5匹 一级能效 HL1Pro 电量查询,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8507328.aspx,再降价、PLUS会员: 华凌空调 小冰棒升级二代 大1匹 一级能效 26GW/N8HA1Ⅱ,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8507118.aspx,小米3匹 新一级能效 变频冷暖  智能自清洁 巨省电 客厅圆柱空调立式柜机 KFR-72LW/N1A1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8506745.aspx,11日0点、PLU会员：Xiaomi 小米 巨省电系列 KFR-26GW/N1A3 新三级能效 壁挂式空调 大1匹,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8506591.aspx,康佳（KONKA）空调 大1匹 新三级能效 变频冷暖 强力除湿 壁挂式卧室空调挂机KFR-26GW/T3以旧换新,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8505726.aspx,20点、PLUS会员：华凌华凌空调挂机 1.5匹 N8HE1pro,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8506048.aspx,松下空调 滢风系列 大1匹 空调挂机强速冷暖 WIFI智能 ZY26K230,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8505745.aspx,20点、PLUS会员：华凌空调挂机 新能效一级1.5匹 HE1PRO,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8505735.aspx,20点、PLUS会员：华凌空调新一级变频空调 1.5匹 35HE1Pro,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8505009.aspx,小米（MI）米家1.5匹 睡眠款 新一级能效 变频冷暖 KFR-35GW/S1A1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8504963.aspx,美的空调 3匹 酷省电 新一级能效 变频冷暖 空调立式客厅空调柜机,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8504528.aspx,奥克斯（AUX） 空调 1.5匹 新一级能效 KFR-35GW/BpR3AQE1(B1)家用省电,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8504339.aspx,TCL大1.5匹变频冷暖空调 新1级能效更省电,天猫商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8504248.aspx,松下空调滢风系列 1.5匹  壁挂式空调挂机 强速冷暖WIFI智能 ZY35K230,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8504197.aspx,长虹（CHANGHONG）大一匹新一级熊猫懒变频冷暖独立除湿空调挂机卧室挂式智能电量查询 KFR-26GW/ZDCSW1+R1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8504011.aspx,plus：华凌【省电款】空调挂机 1.5匹 一级能效 HL1PRO 电量查询,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8503781.aspx,PLUS会员：Midea美的 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 KFR-35GW/N8KS1-1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8503632.aspx,TCL小白空调大1匹新一级能效节能变频空调挂式家用挂机冷暖柔风,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8503612.aspx,小米柔风立式空调3匹新一级变频自清洁冷暖智能远程操控-P1,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8503065.aspx,Midea美的 1.5匹 新一级能效 变频冷暖壁挂式空调 冷静星35PH200(1),京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8503302.aspx,美的空调大3匹 新能效节能变频制冷暖两用立柜式家用客厅空调柜机,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8503203.aspx,美的3P匹新一级能效大风口变频冷暖圆柱立式家用客厅柜机空调,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8503178.aspx,美的空调誉行柜机大3P新一级能效冷暖变频大风口大风量防直吹,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8502987.aspx,PLUS会员、京东百亿补贴: 奥克斯 大3匹 空调 新一级能效 变频冷暖 自清洁 KFR-72LW/BPR3CPA600(B1),京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8502849.aspx,华凌空调挂机 新能效一级 大1匹1.5匹升级小冰棒 变频冷暖壁挂式空调 智能控制 防直吹 1.5匹 一级能效 升级35HA1 II,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8502647.aspx,奥克斯 1.5匹空调挂机冷暖两用,天猫旗舰店
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8502620.aspx,拼多多百亿补贴：华凌 空调大1.5匹一级能效变频冷暖 空调挂机,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8501677.aspx,PLUS会员：MI 小米 柔风空调 大1匹 新一级能效 壁挂式智能互联冷暖变频空调KFR-26GW/R1X1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8502113.aspx,再降价、预售、PLUS会员、需凑单：Midea 美的 1.5匹 风尊二代 一级能效 空调云朵系列 KFR-35GW/N8MXC1Ⅱ,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8501631.aspx,华凌空调挂机 新一级能效变频冷暖家用空调 壁挂式空调 智能控制 自清洁防直吹挂机N8HE1 1.5匹 一级能效 神机升级35N8HE1PRO,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8501458.aspx,长虹空调 新一级能效 大1匹 变频冷暖 智能控制 空调挂机KFR-26GW/ZDHQW1+R1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8499301.aspx,华凌神机空调家用大1.5匹卧室小型35HE1Pro一级变频【PRO更省电】,天猫旗舰店
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8498839.aspx,奥克斯（AUX）空调柜机3匹   ECO节能省电侠 KFR-72LW/BpR3GQS1(B3),京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8498378.aspx,长虹空调 大3匹 冷暖变频 熊猫懒 空调柜机 KFR-72LW/ZDTTW2+R3,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8496609.aspx,华凌空调 新一级 高温蒸汽自洁 2匹 空调柜机 KFR-51LW/N8HB1A,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8494629.aspx,买过奥克斯空调的免费送四年延保,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8494616.aspx,装了几个牌子的空调，格力售后最差了,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8494586.aspx,闲鱼的京东清洗空调怎么便宜的,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8490982.aspx,预售、PLUS会员：Midea 美的  2匹 锐云2代 新一级能效 变频 空调立式 客厅空调柜机KFR-51LW/N8XHA1Ⅱ,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8492364.aspx,PLUS会员：GREE 格力 新风空调  1.5匹 云舒氧1级能效 壁挂式卧室挂机KFR-35GW/NhHf1BAj,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8492319.aspx,PLUS会员：AUX 奥克斯 1.5匹空调挂机 新一级能效 冷暖 变频 KFR-35GW/BpR3HQA1(B1),京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8492288.aspx,PLUS会员：AUX 奥克斯 挂机空调1匹 一级能效 家用冷暖壁挂式 冷暖变频 KFR-26GW/BpR3AQS1(B1),京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8490795.aspx,再降价、预售、PLUS会员：Midea 美的 空调 2匹 酷省电 三级能效 变频 立式客厅空调柜机 云朵系列 KFR-51LW/N8KS1-3P,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8490704.aspx,预售、PLUS会员：Midea 美的 大1匹 风尊二代 新一代舒适空调 一级能效 变频 壁挂式挂机 云朵系列KFR-26GW/N8MXC1Ⅱ,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8488762.aspx,拼多多百亿补贴:TCL小白空调大3P匹变频新一级能效冷暖静音柔风省电家用立式柜机,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8485652.aspx,PLUS会员：GREE 格力 新风空调 3匹 云舒氧 立式空调柜机 KFR-72LW/NhKa1BG(极光紫),京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8483267.aspx,新品预售： Midea 美的  1.5匹 酷省电新系列 新一级能效变频 壁挂式空调挂机 KFR-35GW/N8KS1-1P,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8482809.aspx,预售、PLUS会员：Midea 美的 3匹 酷省电 三级能效 变频立式 客厅空调柜机 云朵系列 KFR-72LW/N8KS1-3P,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8481639.aspx,拼多多百亿补贴:TCL大3匹空调一级能效立柜式变频冷暖家用客厅柜机2,其他
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8477580.aspx,再降价、预售、PLUS会员：Midea 美的  3匹 锐云2代 新一级能效 变频 立式 客厅空调柜机 KFR-72LW/N8XHA1Ⅱ,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8477228.aspx,再降价、预售、PLUS会员：Midea 美的 2匹 风尊二代 新一代舒适空调 一级能效变频冷暖壁挂式挂机除湿智能家电 KFR-46GW/N8MXC1Ⅱ,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8342692.aspx,除了格力大金这种贵的，第二梯队有没有空调推荐啊,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8451141.aspx,格力（GREE） 3匹 云焕 1级能效变频 立式空调柜机KFR-72LW/NhDe1BAj,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8380076.aspx,求问下小米的空调质量怎么样呢？,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8352347.aspx,第五台空调安装汇报-这次是小米,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8343864.aspx,小米空调怎么样？,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8343827.aspx,没钱买了个东宝空调。。。,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8327536.aspx,今天去逛了下实体店，最近准备入手空调的慢友可以了解下价格~,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8324348.aspx,看京东主页一度以为小米出黑色空调了，结果……,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8135974.aspx,避坑帖！华凌空调喷水！,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8207780.aspx,安装空调被坑，大家注意,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8185522.aspx,PLUS会员：GREE 格力 云佳系列 KFR-26GW/NhGd1B 新一级能效 壁挂式空调 大1匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8180917.aspx,华凌【工厂直供】空调柜机大2P/3匹一级变频冷暖高温自清洁手机智能 大风量客厅立式空调 以旧换新 3匹 一级能效 变频柜机 A1Ⅱ 默认1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8178542.aspx,Hisense 海信 舒适家系列 KFR-35GW/E370-X1 新一级能效 壁挂式空调 1.5匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8178459.aspx,奥克斯（AUX）空调 大1.5匹新一级能效 变频冷暖挂机 易拆洗滤网  壁挂式空调KFR-35GW/BpR3AQF19(B1)[家电],京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8176561.aspx,Hisense 海信 舒适家系列 KFR-35GW/E370-X1 新一级能效 壁挂式空调 1.5匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8175815.aspx,Midea 美的 风尊系列 KFR-26GW/N8MXC1 新一级能效 壁挂式空调 1匹 科技版,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8172596.aspx,GREE 格力 云锦Ⅱ系列 KFR-35GW/NhAd1BAj 新一级能效 壁挂式空调 1.5匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8171470.aspx,家装季、PLUS会员：家装季、PLUS会员：Haier 海尔 KF-26GW/20MCA75 新五级能效 壁挂式空调 大1匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8169122.aspx,MIJIA 米家 KFR-72LW/R1A1 新一级能效 立柜式空调 3匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8165551.aspx,家装季、PLUS会员：科龙 2匹/3匹 立式空调柜机 新一级能耗 变频速冷暖 大风量 自清洁 APP智控 节能低噪家用客厅空调 2匹 一级能,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8164972.aspx,海信（Hisense）空调挂机  大1匹/1.5匹 新一级能耗变频自清洁 大风量快速冷暖APP智控家用卧室壁挂式空调以旧换新 1.5匹 一级,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8159264.aspx,春焕新、家装季：春焕新、家装季：KELON 科龙 KFR-35GW/LD1-X1 新一级能效 壁挂式空调 1.5匹,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8152701.aspx,Hisense 海信 自然风系列 KFR-26GW/E370-X1 一级能效 壁挂式空调 大1匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8151940.aspx,空调的排名与选购天梯图来了！ 全是干货！！,话题
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8151628.aspx,WAHIN 华凌 HB系列 KFR-72LW/N8HB1A 新一级能效 立柜式空调 3匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8138185.aspx,Hisense 海信 舒适家系列 KFR-35GW/E370-X1 新一级能效 壁挂式空调 1.5匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8136280.aspx,科龙（KELON） 1.5匹 空调挂机 新一级能效 巨省电 16分贝 变频冷暖 家用卧室壁挂式空调 KFR-33GW/QJ1-X1 1.5匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8135361.aspx,海尔空调【含0元安装套餐】4匹云璟PLUS风管机一拖一中央空调超薄嵌入家用新一级全直流变频凉芯桥科技 4匹 一级能效 大空间云璟plus,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8134772.aspx,春焕新、家装季：海尔空调挂机劲爽大1匹/1.5匹 速冷热新一级能效节能变频家用空调 壁挂式防直吹冷媒变流护眠WIFI智控 1.5匹 一级能效,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8130645.aspx,小米小米3匹 新能效 变频冷暖 智能自清洁 客厅圆柱空调立式柜机 KFR-72LW/N1A3 以旧换新,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8130613.aspx,华凌【工厂直供】空调柜机大2P/3匹一级变频冷暖高温自清洁手机智能 大风量客厅立式空调 以旧换新 3匹 一级能效 变频柜机 A1Ⅱ 默认1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8130617.aspx,华凌【工厂直供】空调柜机大2P/3匹一级变频冷暖高温自清洁手机智能 大风量客厅立式空调 以旧换新 3匹 一级能效 变频柜机 HB1A 默认1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8129289.aspx,家装季、PLUS会员：TCL空调1.5匹 真省电Pro 空调挂机 超一级能效省电40% 变频冷暖 卧室挂机KFR-35GW/RT2Ea+B1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8128266.aspx,华凌空调新一级变频空调 冷暖挂机大风口1.5匹2匹客厅卧室壁挂式空调 挂机智能家用空HL1 1.5匹 一级能效 99%都选-35HL1Pro,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8127253.aspx,Xiaomi 小米 KFR-35GW/V1A1 壁挂式空调,小米有品
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8126973.aspx,【一线品牌|上门安装】空调挂机大1.5匹一级能效节能省电变频单冷暖家用壁挂式新风 1匹 三级能效 单冷【铝管】-无安装,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8126352.aspx,美的空调 新一级能效 1.5匹空调 全直流变频空调 家用节能省电 智能除菌除湿 大风量防直吹 高温自清洁 1.5匹 一级能效 【冷静星Ⅱ】速,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8126117.aspx,华凌空调1.5匹升级款HL 新一级变频空调 大风口卧室挂式空调挂机 手机控制 升级电量查询 自清洁空调 1.5匹 一级能效 35HE1PRO,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8125319.aspx,科龙（KELON） 大1匹 单冷空调 除湿 快速制冷 大风量 自清洁 家用卧室节能低噪壁挂式空调挂机 1匹 五级能效 【快速制冷】 大1匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8119843.aspx,美的（Midea）空调 挂机 风酷 新等级能效全直流变频节能省电 以旧换新冷暖门店同款挂式智能防直吹家用空调全新 大1匹 三级能效 【节能省,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8119028.aspx,格力（GREE）空调 云佳 新能效 变频冷暖 自清洁 壁挂式 卧室空调挂机 1.5匹 一级能效,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8118476.aspx,海尔空调1.5匹变频冷暖 节能舒适风 一键自清洁 家用大风量 独立除湿 壁挂式卧室空调挂机 1.5匹舒适风@新一级变频+内外自清洁,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8117393.aspx,华凌空调【工厂直供】2/3匹柜机新一级变频速冷暖高温自清洁手机智能遥控 大风量客厅立式空调 以旧换 3匹 一级能效 变频柜机HA1Ⅱ 官方安,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8117304.aspx,TCL空调 1匹真省电 空调挂机 超一级能效省电35% 变频冷暖 卧室挂机KFR-26GW/RV2Ea+B1以旧换新,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8114471.aspx,新飞（Frestec）空调挂机 新能效 节能省电除湿 自清洁 快速冷暖 变频壁挂式家用出租房卧室宿舍壁挂式空调 1匹 五级能效 单冷【全铜管,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8113939.aspx,华凌华凌【新年开门红】新一级能效变频冷暖 家用卧室客厅挂机空调 大风口 智能清洁手机智能 以旧换新 1.5匹 一级能效 KFR-35GW/N,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8113915.aspx,华凌空调【工厂直供】新一级能效 变频冷暖 家用1.5匹空调挂机 智能遥控 卧室 升级电量查询 以旧换新 1.5匹 一级能效 35GW/N8H,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8112139.aspx,美的（Midea）空调 大1匹 风尊 科技版 新一级能效 变频冷暖 独立除湿 壁挂式空调挂机 智能家电KFR-26GW/N8MXC1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8111427.aspx,华凌空调3匹/2匹柜机 小冰棒 新一级能效变频冷暖 省电立式客厅卧室空调柜机 二代升级款72HA1/51HA1 3匹 一级能效 升级HA1二,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8110525.aspx,PLUS会员：海信（Hisense）新风空调 增氧循环大风量 变频冷暖 新一级能效 智能除醛卧室壁挂机以旧换新 24年新品小氧吧X5 大1.,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8109386.aspx,海信（Hisense） 2匹 速冷热 新一级能效 防夹手 APP智能变频自清洁客厅空调立式柜机 KFR-50LW/E80A1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8106683.aspx,格力（GREE）云锦-II 变频冷暖1级能效  大1匹 挂机空调 自清洁 智能WiFi 独立除湿 KFR-26GW/NhAd1BAj 大1匹,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8106657.aspx,华凌空调立式 家用客厅2匹p 新二级能效变频冷暖立柜式空调 手机遥控 超大风口 高温蒸汽自洁【51HF2】 2匹 二级能效 KFR-51LW,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8105637.aspx,海信（Hisense）大1匹 增氧新风 小氧吧六重净化大风量 新一级能效APP智控壁挂式空调挂机KFR-26GW/X500U-X1,京东自营
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8104126.aspx,松下空调滢风升级款 1.5匹 新一级能效 变频冷暖空调挂机 原装压缩机 20倍纳诺怡除菌自清洁 ZY35K410,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8103686.aspx,新科（Shinco）移动空调大1P单冷家用空调一体机免排水立式免安装出租房制冷量2000w小空调KY-20F1,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8103481.aspx,科龙空调 3匹 新一级能效 除湿 舒适柔风 变频省电 冷暖 自清洁 智能 客厅圆柱立式柜机空调 3匹 一级能效 KFR-72LW/QS1-X,京东商城
大家电、生活电器,空调,http://cu.manmanbuy.com/discuxiao_8098313.aspx,小米小米3匹 新能效 变频冷暖 智能自清洁 客厅圆柱空调立式柜机 KFR-72LW/N1A3 以旧换新,京东商城
